#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0.01 0 0 0 0 0 1 3 -0.00492153 7.09851e-06 0 0 4 -1 -1 -1 
1 4 0.01 0 0.785398 0 0 0 1 3 -0.00645526 9.52261e-06 0 0 4 -1 -1 -1 
1 4 0.01 0 1.5708 0 0 0 1 3 -0.0125103 2.09854e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 2.35619 0 0 0 1 3 -0.0209993 4.38621e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 0 0 0 1 3 -0.0239534 5.21453e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 0.785398 0 0 1 3 -0.0184182 3.80835e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 1.5708 0 0 1 3 -0.01428 3.7209e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 2.35619 0 0 1 3 -0.0126831 4.69513e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 3.14159 0 0 1 3 -0.0122693 6.0114e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 2.35619 2.35619 0 0 1 3 -0.0129888 4.30047e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 1.5708 1.5708 0 0 1 3 -0.0153904 3.71318e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 0.785398 0.785398 0 0 1 3 -0.00919357 1.63447e-05 0 0 4 -1 -1 -1 
2 4 0.01 0 0 0 0 0 1 3 -0.000343777 7.58544e-07 0 0 4 4 -1 -1 
2 4 0.01 0 0.785398 0 0 0 1 3 -0.000516873 1.17291e-06 0 0 4 4 -1 -1 
2 4 0.01 0 1.5708 0 0 0 1 3 -0.00139219 3.7383e-06 0 0 4 4 -1 -1 
2 4 0.01 0 2.35619 0 0 0 1 3 -0.00306776 1.10608e-05 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 0 0 0 1 3 -0.00370101 1.41019e-05 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 0.785398 0 0 1 3 -0.00248886 8.85114e-06 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 1.5708 0 0 1 3 -0.00169739 8.35039e-06 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 2.35619 0 0 1 3 -0.00142526 1.14877e-05 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 3.14159 0 0 1 3 -0.00135312 1.64594e-05 0 0 4 4 -1 -1 
2 4 0.01 0 2.35619 2.35619 0 0 1 3 -0.00146747 1.01587e-05 0 0 4 4 -1 -1 
2 4 0.01 0 1.5708 1.5708 0 0 1 3 -0.00190859 8.33477e-06 0 0 4 4 -1 -1 
2 4 0.01 0 0.785398 0.785398 0 0 1 3 -0.000882305 2.5633e-06 0 0 4 4 -1 -1 
2 4 0.01 0 0 0 0 0 1 3 -0.000381508 1.15387e-06 0 0 0 6 -1 -1 
2 4 0.01 0 0 0 0 0 1 3 -0.000385791 1.16284e-06 0 0 5 3 -1 -1 
2 4 0.01 0 0.785398 0 0 0 1 3 -0.000390943 1.43733e-06 0 0 0 6 -1 -1 
2 4 0.01 0 0.785398 0 0 0 1 3 -0.000394646 1.44784e-06 0 0 5 3 -1 -1 
2 4 0.01 0 1.5708 0 0 0 1 3 -0.000245549 2.41931e-06 0 0 0 6 -1 -1 
2 4 0.01 0 1.5708 0 0 0 1 3 -0.000247652 2.42347e-06 0 0 5 3 -1 -1 
2 4 0.01 0 2.35619 0 0 0 1 3 0.00021034 4.66925e-06 0 0 0 6 -1 -1 
2 4 0.01 0 2.35619 0 0 0 1 3 0.000204688 4.68366e-06 0 0 5 3 -1 -1 
2 4 0.01 0 3.14159 0 0 0 1 3 0.000421724 5.73007e-06 0 0 0 6 -1 -1 
2 4 0.01 0 3.14159 0 0 0 1 3 0.000424465 5.83556e-06 0 0 5 3 -1 -1 
