#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0.01 0 0 0 0 0 1 3 -2.81327e-05 0.00013615 0 0 4 -1 -1 -1 
1 4 0.01 0 0.785398 0 0 0 1 3 -0.00163759 0.000175158 0 0 4 -1 -1 -1 
1 4 0.01 0 1.5708 0 0 0 1 3 -0.00361829 0.000122203 0 0 4 -1 -1 -1 
1 4 0.01 0 2.35619 0 0 0 1 3 -0.00366621 6.49426e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 0 0 0 1 3 -0.0036325 4.58433e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 0.785398 0 0 1 3 -0.00430264 6.94349e-05 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 1.5708 0 0 1 3 -0.00322732 0.000127201 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 2.35619 0 0 1 3 -0.000389115 0.000149143 0 0 4 -1 -1 -1 
1 4 0.01 0 3.14159 3.14159 0 0 1 3 -2.19726e-05 0.00016936 0 0 4 -1 -1 -1 
1 4 0.01 0 2.35619 2.35619 0 0 1 3 -2.19799e-05 0.00014185 0 0 4 -1 -1 -1 
1 4 0.01 0 1.5708 1.5708 0 0 1 3 -2.1871e-05 0.000129577 0 0 4 -1 -1 -1 
1 4 0.01 0 0.785398 0.785398 0 0 1 3 3.80092e-05 0.000150585 0 0 4 -1 -1 -1 
2 4 0.01 0 0 0 0 0 1 3 3.17097e-05 4.72104e-05 0 0 4 4 -1 -1 
2 4 0.01 0 0.785398 0 0 0 1 3 -0.000551513 6.65299e-05 0 0 4 4 -1 -1 
2 4 0.01 0 1.5708 0 0 0 1 3 -0.000940841 3.85789e-05 0 0 4 4 -1 -1 
2 4 0.01 0 2.35619 0 0 0 1 3 -0.000782875 1.7873e-05 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 0 0 0 1 3 -0.000707611 1.20417e-05 0 0 4 4 -1 -1 
2 4 0.01 0 3.14159 0.785398 0 0 1 3 -0.000872412 1.92293e-05 0 0 4 4 -1 -1 
