#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
2 4 0 0 0 0 0 0.785398 1 1 -0.00755043 0.000449899 -0.0180597 0.000147038 0 1 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.00629517 0.000449352 -0.0187934 0.000156858 0 1 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 -0.00455332 0.000458293 -0.020519 0.000172802 0 1 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 -0.00177106 0.000463993 -0.022981 0.000201299 0 1 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 -1.84589e-05 0.000464521 -0.025343 0.000232487 0 1 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.0013045 0.000462832 -0.0230922 0.000201758 0 1 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.00391147 0.000459235 -0.0204299 0.000170501 0 1 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.00707369 0.000450686 -0.018671 0.000154603 0 1 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.00714931 0.000451123 -0.0183911 0.000151812 0 1 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.00570115 0.000455559 -0.0192742 0.000157494 0 1 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 1.5708 1.5708 0 0.785398 1 1 -0.000291371 0.000459109 -0.0215268 0.000193696 0 1 -1 -1 
2 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
