#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 0.000110468 3.77431e-06 0.000348279 2.40483e-06 1 1 1 1 
4 4 0 0 0.785398 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 0.785398 0 0 0.785398 1 1 0.000111035 3.8563e-06 0.00037271 2.53348e-06 1 1 1 1 
4 4 0 0 1.5708 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 1.5708 0 0 0.785398 1 1 9.36233e-05 4.09941e-06 0.000448949 3.00518e-06 1 1 1 1 
4 4 0 0 2.35619 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 2.35619 0 0 0.785398 1 1 5.06334e-05 4.17609e-06 0.000569492 3.76864e-06 1 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 -2.01039e-06 4.06494e-06 0.000642073 4.35168e-06 1 1 1 1 
4 4 0 0 3.14159 0.785398 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 3.14159 0.785398 0 0.785398 1 1 -4.69559e-05 4.1598e-06 0.000561394 3.74203e-06 1 1 1 1 
4 4 0 0 3.14159 1.5708 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 3.14159 1.5708 0 0.785398 1 1 -0.000108219 4.06527e-06 0.000449127 3.00379e-06 1 1 1 1 
4 4 0 0 3.14159 2.35619 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 3.14159 2.35619 0 0.785398 1 1 -0.000112876 3.85667e-06 0.000373302 2.53672e-06 1 1 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -0.000116255 3.75922e-06 0.000346885 2.4063e-06 1 1 1 1 
4 4 0 0 2.35619 2.35619 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 2.35619 2.35619 0 0.785398 1 1 -0.000112758 3.92034e-06 0.000391088 2.69058e-06 1 1 1 1 
4 4 0 0 1.5708 1.5708 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 1.5708 1.5708 0 0.785398 1 1 4.7821e-06 4.00043e-06 0.000504029 3.54724e-06 1 1 1 1 
4 4 0 0 0.785398 0.785398 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 0.785398 0.785398 0 0.785398 1 1 0.000110364 3.91128e-06 0.000396357 2.71509e-06 1 1 1 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 0.00011357 3.78381e-06 0.000346653 2.38905e-06 1 1 1 1 
4 4 0 0 0.785398 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 0.785398 0 0 0.785398 1 1 0.000111304 3.85003e-06 0.000372434 2.55869e-06 1 1 1 1 
4 4 0 0 1.5708 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
4 4 0 0 1.5708 0 0 0.785398 1 1 0.000103792 4.05919e-06 0.00044645 2.97188e-06 1 1 1 1 
4 4 0 0 2.35619 0 0 0.785398 2 2 -nan -nan -nan -nan 0 0 0 0 
