#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
2 4 0.05 0 0 0 0 0 1 2 0.0063279 7.11523e-05 0 0 0 0 -1 -1 
2 4 0.05 0 0.392699 0 0 0 1 2 0.00512885 5.81505e-05 0 0 0 0 -1 -1 
2 4 0.05 0 0.785398 0 0 0 1 2 0.00326626 3.94895e-05 0 0 0 0 -1 -1 
2 4 0.05 0 1.1781 0 0 0 1 2 0.00166718 2.69117e-05 0 0 0 0 -1 -1 
2 4 0.05 0 1.5708 0 0 0 1 2 0.000634172 1.78297e-05 0 0 0 0 -1 -1 
2 4 0.05 0 1.96349 0 0 0 1 2 1.07633e-05 1.12448e-05 0 0 0 0 -1 -1 
2 4 0.05 0 2.35619 0 0 0 1 2 -0.000354083 6.80581e-06 0 0 0 0 -1 -1 
2 4 0.05 0 2.74889 0 0 0 1 2 -0.00055601 4.28167e-06 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 0 0 0 1 2 -0.00062609 3.47115e-06 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 0.392699 0 0 1 2 -0.000674328 4.22688e-06 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 0.785398 0 0 1 2 -0.000849867 6.60983e-06 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 1.1781 0 0 1 2 -0.00115779 1.10733e-05 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 1.5708 0 0 1 2 -0.00159137 1.85568e-05 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 1.96349 0 0 1 2 -0.00210474 2.89289e-05 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 2.35619 0 0 1 2 -0.00248801 3.96007e-05 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 2.74889 0 0 1 2 -0.00273171 4.74289e-05 0 0 0 0 -1 -1 
2 4 0.05 0 3.14159 3.14159 0 0 1 2 -0.002759 5.03783e-05 0 0 0 0 -1 -1 
2 4 0.05 0 2.74889 2.74889 0 0 1 2 -0.00272236 4.53938e-05 0 0 0 0 -1 -1 
2 4 0.05 0 2.35619 2.35619 0 0 1 2 -0.00216113 3.82726e-05 0 0 0 0 -1 -1 
2 4 0.05 0 1.96349 1.96349 0 0 1 2 -0.00160773 3.26769e-05 0 0 0 0 -1 -1 
2 4 0.05 0 1.5708 1.5708 0 0 1 2 -0.000645897 2.99045e-05 0 0 0 0 -1 -1 
2 4 0.05 0 1.1781 1.1781 0 0 1 2 0.000538644 3.13104e-05 0 0 0 0 -1 -1 
2 4 0.05 0 0.785398 0.785398 0 0 1 2 0.00216175 3.81543e-05 0 0 0 0 -1 -1 
2 4 0.05 0 0.392699 0.392699 0 0 1 2 0.00448476 5.31001e-05 0 0 0 0 -1 -1 
2 4 0.05 0 0 0 0 0 1 2 -0.000236266 0.000224308 0 0 0 1 -1 -1 
2 4 0.05 0 0.392699 0 0 0 1 2 0.000314235 0.000164006 0 0 0 1 -1 -1 
2 4 0.05 0 0.785398 0 0 0 1 2 -0.000180991 9.03234e-05 0 0 0 1 -1 -1 
2 4 0.05 0 1.1781 0 0 0 1 2 -9.3479e-05 5.16358e-05 0 0 0 1 -1 -1 
2 4 0.05 0 1.5708 0 0 0 1 2 -9.29941e-06 3.08562e-05 0 0 0 1 -1 -1 
2 4 0.05 0 1.96349 0 0 0 1 2 1.22242e-05 1.83075e-05 0 0 0 1 -1 -1 
2 4 0.05 0 2.35619 0 0 0 1 2 4.72643e-06 1.11936e-05 0 0 0 1 -1 -1 
2 4 0.05 0 2.74889 0 0 0 1 2 -6.80252e-06 7.33659e-06 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 0 0 0 1 2 9.82933e-06 6.12515e-06 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 0.392699 0 0 1 2 3.90618e-06 7.28031e-06 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 0.785398 0 0 1 2 1.60529e-05 1.10549e-05 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 1.1781 0 0 1 2 -7.96371e-06 1.89381e-05 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 1.5708 0 0 1 2 2.04474e-05 3.35976e-05 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 1.96349 0 0 1 2 9.61252e-05 5.64777e-05 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 2.35619 0 0 1 2 3.29154e-05 8.08361e-05 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 2.74889 0 0 1 2 -6.99234e-05 9.90491e-05 0 0 0 1 -1 -1 
2 4 0.05 0 3.14159 3.14159 0 0 1 2 9.37642e-05 0.000108029 0 0 0 1 -1 -1 
2 4 0.05 0 2.74889 2.74889 0 0 1 2 0.000118595 9.56747e-05 0 0 0 1 -1 -1 
2 4 0.05 0 2.35619 2.35619 0 0 1 2 -0.000171072 7.91703e-05 0 0 0 1 -1 -1 
2 4 0.05 0 1.96349 1.96349 0 0 1 2 7.31877e-05 6.90559e-05 0 0 0 1 -1 -1 
2 4 0.05 0 1.5708 1.5708 0 0 1 2 3.9296e-06 6.56146e-05 0 0 0 1 -1 -1 
2 4 0.05 0 1.1781 1.1781 0 0 1 2 2.8893e-05 7.09028e-05 0 0 0 1 -1 -1 
2 4 0.05 0 0.785398 0.785398 0 0 1 2 0.000128798 9.17114e-05 0 0 0 1 -1 -1 
2 4 0.05 0 0.392699 0.392699 0 0 1 2 -2.44314e-05 0.000145526 0 0 0 1 -1 -1 
