#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
2 5 0 0 3.14159 0 -4 0.125 1 1 0.00354239 0.000249168 -0.0558854 0.000252744 0 1 -1 -1 
2 5 0 0 3.14159 0 -4 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -3.75 0.125 1 1 0.00606962 0.000241655 -0.053424 0.000243119 0 1 -1 -1 
2 5 0 0 3.14159 0 -3.75 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -3.5 0.125 1 1 0.00779512 0.000234571 -0.0517591 0.000237154 0 1 -1 -1 
2 5 0 0 3.14159 0 -3.5 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -3.25 0.125 1 1 0.00985524 0.000224016 -0.0482165 0.000223858 0 1 -1 -1 
2 5 0 0 3.14159 0 -3.25 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -3 0.125 1 1 0.0117454 0.000215918 -0.0462865 0.000216953 0 1 -1 -1 
2 5 0 0 3.14159 0 -3 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -2.75 0.125 1 1 0.0132377 0.000205936 -0.0434066 0.000206221 0 1 -1 -1 
2 5 0 0 3.14159 0 -2.75 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -2.5 0.125 1 1 0.0141942 0.000195526 -0.0402694 0.000193333 0 1 -1 -1 
2 5 0 0 3.14159 0 -2.5 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -2.25 0.125 1 1 0.014895 0.000184474 -0.0376463 0.00018293 0 1 -1 -1 
2 5 0 0 3.14159 0 -2.25 0.125 2 2 -nan -nan -nan -nan 1 0 -1 -1 
2 5 0 0 3.14159 0 -2 0.125 1 1 0.0152139 0.000173452 -0.0348279 0.000170334 0 1 -1 -1 
