#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
2 4 0 0 0 0 0 0.785398 1 1 -0.00721885 6.72288e-05 -0.0180878 2.21048e-05 0 1 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.00666103 6.7591e-05 -0.01868 2.29715e-05 0 1 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 -0.00468237 6.85622e-05 -0.0204782 2.56516e-05 0 1 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 -0.00193265 6.94758e-05 -0.0232044 3.03224e-05 0 1 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 1.28599e-05 6.94215e-05 -0.0248317 3.40728e-05 0 1 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.00185513 6.93945e-05 -0.0232072 3.03528e-05 0 1 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.00480549 6.86273e-05 -0.0205365 2.57407e-05 0 1 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.0067446 6.76476e-05 -0.0187108 2.29977e-05 0 1 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.0073158 6.7203e-05 -0.0181109 2.21685e-05 0 1 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.0060061 6.79102e-05 -0.0192909 2.39534e-05 0 1 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 1.5708 1.5708 0 0.785398 1 1 -4.83302e-05 6.85198e-05 -0.0215165 2.89001e-05 0 1 -1 -1 
2 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
2 4 0 0 0.785398 0.785398 0 0.785398 1 1 -0.00587438 6.79306e-05 -0.0193179 2.4022e-05 0 1 -1 -1 
2 4 0 0 0.785398 0.785398 0 0.785398 2 2 0 0 0 0 1 0 -1 -1 
3 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 0 0 0 0.785398 1 1 0.00195326 1.18032e-05 0.0050253 8.22072e-06 1 1 1 -1 
3 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 0.785398 0 0 0.785398 1 1 0.00187226 1.20149e-05 0.00527862 8.68886e-06 1 1 1 -1 
3 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 1.5708 0 0 0.785398 1 1 0.00146934 1.26489e-05 0.00611368 1.03996e-05 1 1 1 -1 
3 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 2.35619 0 0 0.785398 1 1 0.000618817 1.30762e-05 0.00741714 1.35294e-05 1 1 1 -1 
3 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 3.14159 0 0 0.785398 1 1 1.18725e-09 1.27596e-05 0.00820014 1.5927e-05 1 1 1 -1 
3 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 3.14159 0.785398 0 0.785398 1 1 -0.000646898 1.30725e-05 0.00741139 1.35452e-05 1 1 1 -1 
3 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 3.14159 1.5708 0 0.785398 1 1 -0.00149184 1.2635e-05 0.00609501 1.03689e-05 1 1 1 -1 
3 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 3.14159 2.35619 0 0.785398 1 1 -0.00184448 1.2023e-05 0.00528679 8.74338e-06 1 1 1 -1 
3 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 0 0 0 -1 
3 4 0 0 3.14159 3.14159 0 0.785398 1 1 -0.00194258 1.17831e-05 0.00502127 8.21238e-06 1 1 1 -1 
