#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.197978 7.43138e-05 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.168971 7.73192e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.0989609 8.10922e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0289994 8.03857e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 1 1 -0.000168214 7.87817e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.0290616 8.03836e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.0989846 8.11084e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.168943 7.73027e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.197926 7.42871e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.139931 8.00183e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 1 1 -5.81486e-05 8.54186e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 1 1 -0.139909 8.00085e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 -0.00365884 6.9054e-06 -0.00211507 1.01341e-06 0 0 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 0.0283887 3.08949e-05 -0.0192588 9.31208e-06 2 2 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.00380935 7.75869e-06 -0.00315281 1.74994e-06 0 0 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 0.0234802 3.28255e-05 -0.0207048 1.17602e-05 2 2 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
