#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.197992 0.000145512 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.168869 0.00015132 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.0986839 0.000158733 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0289093 0.000157296 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 1 1 -0.000137268 0.000154219 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.0289538 0.000157392 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.0987968 0.000158782 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.168922 0.000151346 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.197855 0.000145418 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.140127 0.000156715 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 1 1 4.83082e-05 0.000167051 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 1 1 -0.140033 0.00015665 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 -0.00364726 1.35363e-05 -0.00211945 1.98712e-06 0 0 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 0.0283528 6.04731e-05 -0.0192213 1.81817e-05 2 2 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.0038086 1.5216e-05 -0.00316606 3.43565e-06 0 0 -1 -1 
