#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
4 4 0 0 0 0 0 0.785398 1 1 3.06553e-08 7.04902e-07 0 0 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 2.06675e-06 5.83535e-06 0 0 0 2 2 2 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 3 3 
4 4 0 0 0 0 0 0.785398 1 1 9.5234e-07 1.38305e-06 0 0 2 1 1 1 
4 4 0 0 0 0 0 0.785398 1 1 1.16741e-05 1.16226e-05 0 0 2 3 3 3 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 2 2 
4 4 0 0 3.14159 0 0 0.785398 1 1 6.2493e-07 6.98442e-07 0 0 0 0 0 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 3.6624e-06 5.79646e-06 0 0 0 2 2 2 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 3 3 
4 4 0 0 3.14159 0 0 0.785398 1 1 -1.4314e-06 1.39536e-06 0 0 2 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 2.30029e-05 1.17455e-05 0 0 2 3 3 3 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 2 2 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 1.41808e-06 6.82586e-07 0 0 0 0 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 3.16013e-06 5.7964e-06 0 0 0 2 2 2 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 1 3 3 3 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 2.23038e-06 1.35817e-06 0 0 2 1 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -6.6536e-06 1.1604e-05 0 0 2 3 3 3 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 3 2 2 2 
4 4 0 0 0 0 0 0.785398 1 1 4.56416e-07 1.13791e-06 0 0 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 -8.51083e-07 3.71513e-06 0 0 0 0 2 2 
4 4 0 0 0 0 0 0.785398 1 1 -1.25783e-06 2.26621e-06 0 0 0 2 1 1 
4 4 0 0 0 0 0 0.785398 1 1 -3.88376e-06 7.50632e-06 0 0 0 2 3 3 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 3 3 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 0 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 2 2 
4 4 0 0 0 0 0 0.785398 1 1 1.054e-06 2.25668e-06 0 0 2 1 1 1 
4 4 0 0 0 0 0 0.785398 1 1 2.65345e-05 7.58259e-06 0 0 2 1 3 3 
4 4 0 0 0 0 0 0.785398 1 1 5.26499e-06 4.53187e-06 0 0 2 3 0 0 
4 4 0 0 0 0 0 0.785398 1 1 3.65557e-06 1.53474e-05 0 0 2 3 2 2 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 2 2 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 1 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 3 3 
4 4 0 0 3.14159 0 0 0.785398 1 1 2.08639e-06 1.11944e-06 0 0 0 0 0 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 -2.18715e-06 3.76238e-06 0 0 0 0 2 2 
4 4 0 0 3.14159 0 0 0.785398 1 1 1.70483e-06 2.28046e-06 0 0 0 2 1 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 3.11073e-06 7.5448e-06 0 0 0 2 3 3 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 3 3 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 0 0 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 2 2 
4 4 0 0 3.14159 0 0 0.785398 1 1 -3.4567e-07 2.26441e-06 0 0 2 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 3.38677e-06 7.50905e-06 0 0 2 1 3 3 
4 4 0 0 3.14159 0 0 0.785398 1 1 3.76873e-06 4.49555e-06 0 0 2 3 0 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 -5.58675e-06 1.50189e-05 0 0 2 3 2 2 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 2 2 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 1 1 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 3 3 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -8.95808e-07 1.12714e-06 0 0 0 0 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -2.10922e-06 3.75738e-06 0 0 0 0 2 2 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -1.45292e-07 2.28988e-06 0 0 0 2 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 8.39447e-06 7.52106e-06 0 0 0 2 3 3 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 1 1 3 3 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 1 3 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 1 3 2 2 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -1.5957e-06 2.26748e-06 0 0 2 1 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 4.14774e-06 7.45584e-06 0 0 2 1 3 3 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 -8.18896e-06 4.53229e-06 0 0 2 3 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 1 1 8.40009e-06 1.50504e-05 0 0 2 3 2 2 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 3 0 2 2 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 3 2 1 1 
4 4 0 0 3.14159 3.14159 0 0.785398 2 2 -nan -nan -nan -nan 3 2 3 3 
4 4 0 0 0 0 0 0.785398 1 1 -1.81661e-06 8.56567e-07 0 0 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 1.43202e-07 1.7116e-06 0 0 0 0 2 1 
4 4 0 0 0 0 0 0.785398 1 1 -1.6288e-06 1.74442e-06 0 0 0 2 1 1 
4 4 0 0 0 0 0 0.785398 1 1 1.261e-07 3.42016e-06 0 0 0 2 3 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 3 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 0 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 2 1 
4 4 0 0 0 0 0 0.785398 1 1 1.9021e-06 1.70728e-06 0 0 2 1 1 1 
4 4 0 0 0 0 0 0.785398 1 1 7.69864e-06 3.40807e-06 0 0 2 1 3 0 
4 4 0 0 0 0 0 0.785398 1 1 -2.64431e-06 3.46231e-06 0 0 2 3 0 0 
4 4 0 0 0 0 0 0.785398 1 1 -5.42061e-07 6.87454e-06 0 0 2 3 2 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 0 0 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 0 2 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 1 1 
4 4 0 0 0 0 0 0.785398 2 2 -nan -nan -nan -nan 3 2 3 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 1.07604e-06 8.57202e-07 0 0 0 0 0 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 1.4865e-06 1.71823e-06 0 0 0 0 2 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 1.60381e-06 1.71682e-06 0 0 0 2 1 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 -4.18246e-06 3.4477e-06 0 0 0 2 3 0 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 1 3 0 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 0 0 
4 4 0 0 3.14159 0 0 0.785398 2 2 -nan -nan -nan -nan 1 3 2 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 -4.06465e-06 1.70803e-06 0 0 2 1 1 1 
4 4 0 0 3.14159 0 0 0.785398 1 1 5.11487e-06 3.38871e-06 0 0 2 1 3 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 -5.50157e-07 3.40505e-06 0 0 2 3 0 0 
4 4 0 0 3.14159 0 0 0.785398 1 1 5.09209e-06 6.81482e-06 0 0 2 3 2 1 
