#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.197946 0.000413115 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.261799 0 0 0.785398 1 1 -0.194075 0.000415071 0 0 0 -1 -1 -1 
1 4 0 0 0.261799 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.523599 0 0 0.785398 1 1 -0.184941 0.000421729 0 0 0 -1 -1 -1 
1 4 0 0 0.523599 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.168621 0.000429335 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.0472 0 0 0.785398 1 1 -0.148341 0.000438135 0 0 0 -1 -1 -1 
1 4 0 0 1.0472 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.309 0 0 0.785398 1 1 -0.124133 0.000445676 0 0 0 -1 -1 -1 
1 4 0 0 1.309 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.098566 0.000450434 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.8326 0 0 0.785398 1 1 -0.0734227 0.000452357 0 0 0 -1 -1 -1 
1 4 0 0 1.8326 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.0944 0 0 0.785398 1 1 -0.0500791 0.000451296 0 0 0 -1 -1 -1 
1 4 0 0 2.0944 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0294151 0.000447824 0 0 0 -1 -1 -1 
