#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
4 4 0 0 0 0 0 0.785398 1 1 -1.36363e-05 1.22046e-07 -4.72722e-06 2.52929e-08 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 1.37815e-05 6.68357e-07 -2.91237e-05 1.63743e-07 0 0 2 2 
4 4 0 0 0 0 0 0.785398 1 1 1.29907e-05 6.66737e-07 -2.90874e-05 1.6317e-07 0 2 0 3 
4 4 0 0 0 0 0 0.785398 1 1 1.296e-05 6.57767e-07 -2.8792e-05 1.60717e-07 0 2 2 1 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 1 1 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 3 3 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 3 1 2 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 3 3 0 
4 4 0 0 0 0 0 0.785398 1 1 1.34409e-05 6.65568e-07 -2.88587e-05 1.62192e-07 2 0 1 2 
4 4 0 0 0 0 0 0.785398 1 1 1.29227e-05 6.65085e-07 -2.88275e-05 1.62329e-07 2 0 3 0 
4 4 0 0 0 0 0 0.785398 1 1 1.41449e-05 6.81849e-07 -2.91251e-05 1.65299e-07 2 2 1 1 
4 4 0 0 0 0 0 0.785398 1 1 0.000869582 9.42778e-06 -0.0012568 5.85388e-06 2 2 3 3 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 1 0 3 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 1 2 1 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 0 0 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 2 2 
4 4 0 0 0 0 0 0.785398 1 1 2.73969e-07 7.98568e-08 1.47505e-08 1.78493e-08 0 0 0 0 
4 4 0 0 0 0 0 0.785398 1 1 1.5535e-06 5.62055e-07 2.13402e-07 1.83115e-07 0 2 0 3 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 1 1 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 3 1 2 
4 4 0 0 0 0 0 0.785398 1 1 3.95639e-06 5.51221e-07 -3.27687e-07 1.81753e-07 2 0 1 2 
4 4 0 0 0 0 0 0.785398 1 1 1.87122e-06 5.51429e-07 1.8664e-07 1.80854e-07 2 2 1 1 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 1 0 3 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 0 0 
4 4 0 0 0 0 0 0.785398 1 1 2.65655e-07 1.2636e-08 9.7521e-09 2.77339e-09 0 0 0 0 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 1 1 
4 4 0 0 0 0 0 0.785398 1 1 3.86421e-07 1.38451e-07 -1.21862e-06 1.07362e-07 2 0 0 3 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 1 1 2 
4 4 0 0 0 0 0 0.785398 1 1 -2.1872e-07 2.33163e-08 -1.84018e-08 5.66302e-09 0 0 0 0 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 1 1 
4 4 0 0 0 0 0 0.785398 1 1 -4.02336e-06 2.51413e-07 4.32934e-07 2.30766e-07 2 0 1 2 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 1 0 3 
4 4 0 0 0 0 0 0.785398 1 1 3.02393e-07 1.93849e-08 6.2933e-08 4.63399e-09 0 0 0 0 
4 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 1 1 
4 4 0 0 0 0 0 0.785398 1 1 7.11463e-06 2.25144e-07 5.7911e-07 1.92337e-07 2 0 3 0 
