#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.098937 2.9488e-05 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.261799 0 0 0.785398 1 1 -0.0973081 2.96536e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.261799 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.523599 0 0 0.785398 1 1 -0.0922878 3.00724e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.523599 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.0844584 3.06826e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.0472 0 0 0.785398 1 1 -0.074232 3.13165e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.0472 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.309 0 0 0.785398 1 1 -0.0622924 3.18428e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.309 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.0494634 3.21756e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.8326 0 0 0.785398 1 1 -0.0366135 3.22826e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.8326 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.0944 0 0 0.785398 1 1 -0.0247104 3.21593e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.0944 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0144736 3.19033e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.61799 0 0 0.785398 1 1 -0.00667794 3.15995e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.61799 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.87979 0 0 0.785398 1 1 -0.00167885 3.13495e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.87979 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 1 1 6.61547e-05 3.12594e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.261799 0 0.785398 1 1 0.00168102 3.1356e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.261799 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.523599 0 0.785398 1 1 0.00663597 3.16012e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.523599 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.0144996 3.19033e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.0472 0 0.785398 1 1 0.0247292 3.2168e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.0472 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.309 0 0.785398 1 1 0.0366078 3.22713e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.309 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.0494326 3.21745e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.8326 0 0.785398 1 1 0.0622938 3.18473e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.8326 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.0944 0 0.785398 1 1 0.0742151 3.13113e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.0944 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.0844617 3.06829e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.61799 0 0.785398 1 1 0.0923479 3.00853e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.61799 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
