#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.0993386 0.000316025 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.0843179 0.000328642 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.0501413 0.000345198 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0147904 0.000341139 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 1 1 -0.000761665 0.000335361 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.014672 0.000341011 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.0497025 0.000344195 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.0845363 0.000328574 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.0994977 0.000316169 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.0704107 0.000340575 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 1 1 -0.000505763 0.000362229 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 1 1 -0.0704239 0.00034076 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 -0.000916898 1.47038e-05 -0.000530046 2.15958e-06 0 0 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 0.0113477 0.000219171 -0.0182603 7.16299e-05 2 2 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.000947811 1.65218e-05 -0.000792183 3.72985e-06 0 0 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 0.00942932 0.000223324 -0.0189434 7.9426e-05 2 2 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 -0.000922784 2.05757e-05 -0.00147464 8.62802e-06 0 0 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 0.00477833 0.000233486 -0.0213511 0.000102142 2 2 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 -0.00041378 2.33446e-05 -0.00234132 1.49421e-05 0 0 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 0.00085106 0.000237914 -0.0243047 0.000129327 2 2 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 -2.04677e-05 2.36218e-05 -0.00273198 1.77966e-05 0 0 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
