#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.0988409 0.000188742 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.261799 0 0 0.785398 1 1 -0.0971498 0.000189581 0 0 0 -1 -1 -1 
1 4 0 0 0.261799 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.523599 0 0 0.785398 1 1 -0.092406 0.000192168 0 0 0 -1 -1 -1 
1 4 0 0 0.523599 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.084368 0.000196216 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.0472 0 0 0.785398 1 1 -0.0742801 0.00020039 0 0 0 -1 -1 -1 
1 4 0 0 1.0472 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.309 0 0 0.785398 1 1 -0.0622886 0.000203809 0 0 0 -1 -1 -1 
1 4 0 0 1.309 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.0494186 0.000205633 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.8326 0 0 0.785398 1 1 -0.0367581 0.000206492 0 0 0 -1 -1 -1 
1 4 0 0 1.8326 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.0944 0 0 0.785398 1 1 -0.0247578 0.000205565 0 0 0 -1 -1 -1 
1 4 0 0 2.0944 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0142666 0.000203701 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.61799 0 0 0.785398 1 1 -0.00658356 0.000201985 0 0 0 -1 -1 -1 
1 4 0 0 2.61799 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.87979 0 0 0.785398 1 1 -0.00169496 0.000200225 0 0 0 -1 -1 -1 
1 4 0 0 2.87979 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 1 1 -0.000338925 0.00019962 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.261799 0 0.785398 1 1 0.00156676 0.000200587 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.261799 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.523599 0 0.785398 1 1 0.00620168 0.000202394 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.523599 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.0142381 0.00020396 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.0472 0 0.785398 1 1 0.0247138 0.000205778 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.0472 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.309 0 0.785398 1 1 0.036563 0.000206579 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.309 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.04951 0.000205909 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.8326 0 0.785398 1 1 0.0623775 0.000203664 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.8326 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.0944 0 0.785398 1 1 0.0745235 0.000200484 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.0944 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.0847295 0.000196328 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.61799 0 0.785398 1 1 0.0923914 0.000192465 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.61799 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.87979 0 0.785398 1 1 0.0973147 0.000189457 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.87979 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.0988806 0.00018866 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.87979 2.87979 0 0.785398 1 1 0.0957989 0.000190738 0 0 0 -1 -1 -1 
1 4 0 0 2.87979 2.87979 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.61799 2.61799 0 0.785398 1 1 0.085714 0.000195968 0 0 0 -1 -1 -1 
1 4 0 0 2.61799 2.61799 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.0699683 0.000203403 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.0944 2.0944 0 0.785398 1 1 0.0490802 0.000209498 0 0 0 -1 -1 -1 
1 4 0 0 2.0944 2.0944 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.8326 1.8326 0 0.785398 1 1 0.0254501 0.000215179 0 0 0 -1 -1 -1 
1 4 0 0 1.8326 1.8326 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 1 1 -0.000111744 0.000216761 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.309 1.309 0 0.785398 1 1 -0.0255197 0.000215071 0 0 0 -1 -1 -1 
1 4 0 0 1.309 1.309 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.0472 1.0472 0 0.785398 1 1 -0.0489939 0.000209782 0 0 0 -1 -1 -1 
1 4 0 0 1.0472 1.0472 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 1 1 -0.0697785 0.000202992 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.523599 0.523599 0 0.785398 1 1 -0.0856372 0.000195992 0 0 0 -1 -1 -1 
1 4 0 0 0.523599 0.523599 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.261799 0.261799 0 0.785398 1 1 -0.0954931 0.000190375 0 0 0 -1 -1 -1 
1 4 0 0 0.261799 0.261799 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 -0.000912709 8.75908e-06 -0.000527941 1.28332e-06 0 0 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 0.0115324 0.000130444 -0.0181683 4.2754e-05 2 2 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.261799 0 0 0.785398 1 1 -0.000928705 8.90017e-06 -0.00055911 1.37823e-06 0 0 -1 -1 
2 4 0 0 0.261799 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0.261799 0 0 0.785398 1 1 0.0112379 0.00013078 -0.0182556 4.31802e-05 2 2 -1 -1 
2 4 0 0 0.261799 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.523599 0 0 0.785398 1 1 -0.00093574 9.26526e-06 -0.000644497 1.67658e-06 0 0 -1 -1 
2 4 0 0 0.523599 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0.523599 0 0 0.785398 1 1 0.0107075 0.000132075 -0.0185537 4.47781e-05 2 2 -1 -1 
2 4 0 0 0.523599 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.000947634 9.81592e-06 -0.000786001 2.2177e-06 0 0 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 0.00963155 0.000133652 -0.0189465 4.73737e-05 2 2 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 1.0472 0 0 0.785398 1 1 -0.000953993 1.05968e-05 -0.000986011 3.0369e-06 0 0 -1 -1 
2 4 0 0 1.0472 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 1.0472 0 0 0.785398 1 1 0.00779563 0.000134871 -0.0194457 5.06563e-05 2 2 -1 -1 
2 4 0 0 1.0472 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 1.309 0 0 0.785398 1 1 -0.000950151 1.14599e-05 -0.00122039 4.02806e-06 0 0 -1 -1 
2 4 0 0 1.309 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 1.309 0 0 0.785398 1 1 0.00651185 0.000137057 -0.0202502 5.49549e-05 2 2 -1 -1 
2 4 0 0 1.309 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 -0.000887232 1.22612e-05 -0.001494 5.21128e-06 0 0 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 0.00481462 0.0001387 -0.0211582 5.9997e-05 2 2 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 1.8326 0 0 0.785398 1 1 -0.00078837 1.30498e-05 -0.0017851 6.49324e-06 0 0 -1 -1 
2 4 0 0 1.8326 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 1.8326 0 0 0.785398 1 1 0.0031635 0.000140629 -0.022273 6.58297e-05 2 2 -1 -1 
2 4 0 0 1.8326 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.0944 0 0 0.785398 1 1 -0.000631781 1.35785e-05 -0.00206284 7.70897e-06 0 0 -1 -1 
2 4 0 0 2.0944 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.0944 0 0 0.785398 1 1 0.00175857 0.000141223 -0.0232697 7.1743e-05 2 2 -1 -1 
2 4 0 0 2.0944 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 -0.000413141 1.39422e-05 -0.00232812 8.87188e-06 0 0 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 0.000911488 0.000142234 -0.0245632 7.80815e-05 2 2 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.61799 0 0 0.785398 1 1 -0.000254499 1.40756e-05 -0.00254516 9.83873e-06 0 0 -1 -1 
2 4 0 0 2.61799 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.61799 0 0 0.785398 1 1 0.000220644 0.000141666 -0.0252649 8.29132e-05 2 2 -1 -1 
2 4 0 0 2.61799 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.87979 0 0 0.785398 1 1 -6.53125e-05 1.41411e-05 -0.00270527 1.05026e-05 0 0 -1 -1 
2 4 0 0 2.87979 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.87979 0 0 0.785398 1 1 0.000160697 0.000141813 -0.0258078 8.61432e-05 2 2 -1 -1 
2 4 0 0 2.87979 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 -2.55652e-05 1.40982e-05 -0.00273994 1.068e-05 0 0 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 0.000119411 0.000142578 -0.0262717 8.8075e-05 2 2 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0.261799 0 0.785398 1 1 8.36305e-05 1.41161e-05 -0.00270986 1.056e-05 0 0 -1 -1 
2 4 0 0 3.14159 0.261799 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 0.261799 0 0.785398 1 1 -0.000278175 0.000142029 -0.0262021 8.76773e-05 2 2 -1 -1 
2 4 0 0 3.14159 0.261799 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0.523599 0 0.785398 1 1 0.000223196 1.40741e-05 -0.00254978 9.87274e-06 0 0 -1 -1 
2 4 0 0 3.14159 0.523599 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 0.523599 0 0.785398 1 1 -0.000236699 0.000142056 -0.0253706 8.29908e-05 2 2 -1 -1 
2 4 0 0 3.14159 0.523599 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.000439222 1.39492e-05 -0.0023432 8.92433e-06 0 0 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 1 1 -0.00133206 0.000141893 -0.0243732 7.76994e-05 2 2 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 1.0472 0 0.785398 1 1 0.000626676 1.35955e-05 -0.00206917 7.73098e-06 0 0 -1 -1 
2 4 0 0 3.14159 1.0472 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 1.0472 0 0.785398 1 1 -0.00180391 0.000140986 -0.0233166 7.18077e-05 2 2 -1 -1 
2 4 0 0 3.14159 1.0472 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 1.309 0 0.785398 1 1 0.000795017 1.30056e-05 -0.00176835 6.43664e-06 0 0 -1 -1 
2 4 0 0 3.14159 1.309 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 1.309 0 0.785398 1 1 -0.00322857 0.000140273 -0.0222763 6.59828e-05 2 2 -1 -1 
2 4 0 0 3.14159 1.309 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.000904554 1.22866e-05 -0.00149187 5.22033e-06 0 0 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 1 1 -0.00503516 0.000138957 -0.021184 6.0417e-05 2 2 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 1.8326 0 0.785398 1 1 0.000946117 1.1437e-05 -0.00121633 4.0191e-06 0 0 -1 -1 
2 4 0 0 3.14159 1.8326 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 1.8326 0 0.785398 1 1 -0.00613608 0.000136953 -0.0202047 5.50373e-05 2 2 -1 -1 
2 4 0 0 3.14159 1.8326 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 2.0944 0 0.785398 1 1 0.000947739 1.06398e-05 -0.000984086 3.01309e-06 0 0 -1 -1 
2 4 0 0 3.14159 2.0944 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 2.0944 0 0.785398 1 1 -0.00775037 0.000135518 -0.0196149 5.1182e-05 2 2 -1 -1 
2 4 0 0 3.14159 2.0944 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.000958431 9.85815e-06 -0.000792087 2.22618e-06 0 0 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 1 1 -0.00931601 0.00013329 -0.0189285 4.75698e-05 2 2 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 2.61799 0 0.785398 1 1 0.00094721 9.25657e-06 -0.00064456 1.67378e-06 0 0 -1 -1 
2 4 0 0 3.14159 2.61799 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 2.61799 0 0.785398 1 1 -0.0102292 0.000131541 -0.0183772 4.4513e-05 2 2 -1 -1 
2 4 0 0 3.14159 2.61799 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 2.87979 0 0.785398 1 1 0.000916993 8.86853e-06 -0.000557918 1.3749e-06 0 0 -1 -1 
2 4 0 0 3.14159 2.87979 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 2.87979 0 0.785398 1 1 -0.0112759 0.000130555 -0.0181732 4.31585e-05 2 2 -1 -1 
2 4 0 0 3.14159 2.87979 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.000937536 8.7642e-06 -0.00052787 1.28527e-06 0 0 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 1 1 -0.0113959 0.000130522 -0.0181986 4.27323e-05 2 2 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.87979 2.87979 0 0.785398 1 1 0.000941657 8.99678e-06 -0.000587298 1.48342e-06 0 0 -1 -1 
2 4 0 0 2.87979 2.87979 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.87979 2.87979 0 0.785398 1 1 -0.0106767 0.000130969 -0.0182554 4.36176e-05 2 2 -1 -1 
2 4 0 0 2.87979 2.87979 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.61799 2.61799 0 0.785398 1 1 0.000948254 9.7626e-06 -0.000756596 2.22367e-06 0 0 -1 -1 
2 4 0 0 2.61799 2.61799 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.61799 2.61799 0 0.785398 1 1 -0.00967077 0.00013292 -0.0187716 4.6671e-05 2 2 -1 -1 
2 4 0 0 2.61799 2.61799 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.000910109 1.08921e-05 -0.00101233 3.48007e-06 0 0 -1 -1 
