#Ord Beta Mu H Kx Ky Rfq Imfq in out Re Re_err Imag Imag_err U1 U2 U3 U4 
1 4 0 0 0 0 0 0.785398 1 1 -0.197801 6.67247e-05 0 0 0 -1 -1 -1 
1 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 1 1 -0.168988 6.94469e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 1 1 -0.0989043 7.28379e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 1 1 -0.0289358 7.21934e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 1 1 -7.87532e-05 7.0773e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.0290284 7.22049e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.0989208 7.28356e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.169038 6.94708e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.197951 6.67482e-05 0 0 0 -1 -1 -1 
1 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.139983 7.18739e-05 0 0 0 -1 -1 -1 
1 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 1 1 -2.17026e-05 7.66871e-05 0 0 0 -1 -1 -1 
1 4 0 0 1.5708 1.5708 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 1 1 -0.140035 7.19063e-05 0 0 0 -1 -1 -1 
1 4 0 0 0.785398 0.785398 0 0.785398 2 2 0 0 0 0 1 -1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 -0.00365803 6.20608e-06 -0.00211656 9.11081e-07 0 0 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0 0 0 0.785398 1 1 0.0283346 2.7744e-05 -0.0192606 8.3648e-06 2 2 -1 -1 
2 4 0 0 0 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 -0.00381545 6.9743e-06 -0.00315677 1.57328e-06 0 0 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 1 1 0.0235412 2.95149e-05 -0.0207433 1.05887e-05 2 2 -1 -1 
2 4 0 0 0.785398 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 -0.00356964 8.71708e-06 -0.0059758 3.69215e-06 0 0 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 1 1 0.0124299 3.26906e-05 -0.0248489 1.58538e-05 2 2 -1 -1 
2 4 0 0 1.5708 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 -0.00167307 9.86585e-06 -0.00934146 6.31353e-06 0 0 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 1 1 0.00297989 3.44838e-05 -0.0301759 2.20111e-05 2 2 -1 -1 
2 4 0 0 2.35619 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 -1.23634e-05 9.97233e-06 -0.0109649 7.57493e-06 0 0 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 1 1 2.70011e-05 3.47642e-05 -0.0330218 2.5388e-05 2 2 -1 -1 
2 4 0 0 3.14159 0 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 1 1 0.00167403 9.87078e-06 -0.00935306 6.31679e-06 0 0 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 1 1 -0.00294963 3.4484e-05 -0.0302175 2.20443e-05 2 2 -1 -1 
2 4 0 0 3.14159 0.785398 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 1 1 0.00356893 8.7173e-06 -0.00596993 3.68677e-06 0 0 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 1 1 -0.0124397 3.26924e-05 -0.0248653 1.58818e-05 2 2 -1 -1 
2 4 0 0 3.14159 1.5708 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 1 1 0.00381335 6.97388e-06 -0.00315599 1.57295e-06 0 0 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 1 1 -0.0235 2.94959e-05 -0.0207346 1.05797e-05 2 2 -1 -1 
2 4 0 0 3.14159 2.35619 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 1 1 0.00366975 6.2099e-06 -0.00211696 9.11281e-07 0 0 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 1 1 -0.0283444 2.77447e-05 -0.0192477 8.36259e-06 2 2 -1 -1 
2 4 0 0 3.14159 3.14159 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 1 1 0.00370894 7.70031e-06 -0.00404729 2.46775e-06 0 0 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 1 1 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 1 1 -0.0189668 3.07832e-05 -0.0220653 1.23565e-05 2 2 -1 -1 
2 4 0 0 2.35619 2.35619 0 0.785398 2 2 0 0 0 0 3 3 -1 -1 
